Scheduler,Round #,Avg Turnaround,Avg Wait,
PSJF,0,295.9,0.7,
FCFS,0,170.7,134.1,
SJF,0,139.7,104.4,
Round Robin 5,0,263.7,0,
Round Robin 10,0,NaN,NaN,
Stride,0,301.5,8.5,
Round Robin 15,0,NaN,NaN,
FCFS,0,164.8,129.5,
PSJF,0,436.7,1.1,
FCFS,0,113.3,88,
Stride,0,145,7.8,
SJF,0,82.7,57.4,
Round Robin 5,0,136.5,0,
Round Robin 10,0,NaN,NaN,
Round Robin 15,0,NaN,NaN,
PSJF,0,239.9,1,
FCFS,0,122.5,88.3,
Stride,0,257.7,5.8,
SJF,0,119,84.8,
Round Robin 5,0,213.3,0,
Round Robin 10,0,NaN,NaN,
Round Robin 15,0,NaN,NaN,
PSJF,0,364.9,0.8,
FCFS,0,140.7,113.3,
Stride,0,214.8,9.9,
SJF,0,130.6,103.2,
Round Robin 5,0,202.7,0.1,
Round Robin 10,0,NaN,NaN,
Round Robin 15,0,NaN,NaN,
PSJF,0,354.7,1.2,
FCFS,0,151.1,119.4,
Stride,0,251.4,8.6,
SJF,0,117.2,85.5,
Round Robin 5,0,215.9,0,
Round Robin 10,0,NaN,NaN,
Round Robin 15,0,NaN,NaN,
PSJF,0,365.1,0.7,
FCFS,0,180.6,140.4,
Stride,0,313.1,5.1,
SJF,0,155.1,114.9,
Round Robin 5,0,280.7,0.1,
Round Robin 10,0,NaN,NaN,
Round Robin 15,0,NaN,NaN,
PSJF,0,464.7,0.8,
FCFS,0,137.3,106.9,
Stride,0,190,-3.9,
SJF,0,104.1,43.6,
Round Robin 5,0,192.3,0,
Round Robin 10,0,NaN,NaN,
Round Robin 15,0,NaN,NaN,
PSJF,0,4,0,
FCFS,0,132.5,101.7,
Stride,0,197.1,11.6,
SJF,0,107.9,77.1,
Round Robin 5,0,190.8,0,
Round Robin 10,0,NaN,NaN,
Round Robin 15,0,NaN,NaN,
PSJF,0,322.9,0.7,
FCFS,0,203,164.3,
Stride,0,306,8,
SJF,0,165,126.3,
Round Robin 5,0,289.3,0.1,
Round Robin 10,0,NaN,NaN,
Round Robin 15,0,NaN,NaN,
PSJF,0,493.1,0.5,
FCFS,0,141.1,112.6,
Stride,0,221.8,15.1,
SJF,0,96.5,68,
Round Robin 5,0,174.3,0.1,
Round Robin 10,0,NaN,NaN,
Round Robin 15,0,NaN,NaN,
Stride,0,294.1,12.4,
SJF,0,168.9,132.3,
Round Robin 5,0,288.8,0,
Round Robin 10,0,NaN,NaN,
Round Robin 15,0,NaN,NaN,
PSJF,0,486.8,0.8,
FCFS,0,154.5,121.3,
Stride,0,247.1,14.8,
SJF,0,126.8,93.6,
Round Robin 5,0,222.8,0.1,
Round Robin 10,0,NaN,NaN,
Round Robin 15,0,NaN,NaN,
PSJF,0,379,0.7,
FCFS,0,74.3,56,
Stride,0,95.6,5.8,
SJF,0,54,3.5,
Round Robin 5,0,90,0,
Round Robin 10,0,NaN,NaN,
Round Robin 15,0,NaN,NaN,
PSJF,0,160.2,0.5,
FCFS,0,130.7,105.9,
Stride,0,176.8,4.4,
SJF,0,95.9,71.1,
Round Robin 5,0,154.2,0.1,
Round Robin 10,0,NaN,NaN,
Round Robin 15,0,NaN,NaN,
PSJF,0,269.9,0.6,
FCFS,0,140.5,109.6,
Stride,0,218,4.7,
SJF,0,122.3,91.4,
Round Robin 5,0,192.6,0.2,
Round Robin 10,0,NaN,NaN,
Round Robin 15,0,NaN,NaN,
PSJF,0,337.1,1.1,
FCFS,0,82.8,64,
Stride,0,93.3,3.4,
SJF,0,52.6,33.8,
Round Robin 5,0,94.3,0,
Round Robin 10,0,NaN,NaN,
Round Robin 15,0,NaN,NaN,
PSJF,0,168.1,0.7,
FCFS,0,99.4,76.2,
Stride,0,117.3,7.5,
SJF,0,65,41.8,
Round Robin 5,0,108.6,0.1,
Round Robin 10,0,NaN,NaN,
Round Robin 15,0,NaN,NaN,
PSJF,0,196.7,0.8,
FCFS,0,161.7,127.8,
Stride,0,231.1,4.5,
SJF,0,132.3,98.4,
Round Robin 5,0,218.6,0,
Round Robin 10,0,NaN,NaN,
Round Robin 15,0,NaN,NaN,
PSJF,0,372,1.3,
FCFS,0,146,117.7,
Stride,0,196.1,2.3,
SJF,0,105.9,77.6,
Round Robin 5,0,201,0,
Round Robin 10,0,NaN,NaN,
Round Robin 15,0,NaN,NaN,
PSJF,0,338.5,1,
FCFS,0,128.9,98.6,
Stride,0,202.5,-4.1,
SJF,0,108,64.2,
Round Robin 5,0,184.8,0,
Round Robin 10,0,NaN,NaN,
Round Robin 15,0,NaN,NaN,
PSJF,0,322.7,1.1,
